date,EC
2025-10,13459.0
2025-09,11928.0
2025-08,12380.0
2025-07,12351.0
2025-06,11899.0
2025-05,13009.0
2025-04,14385.0
2025-03,16658.0
2025-02,16194.0
2025-01,17691.0
2024-12,17266.0
2024-11,15838.0
2024-10,14227.0
2024-09,12321.0
2024-08,13057.0
2024-07,11972.0
2024-06,11926.0
2024-05,13306.0
2024-04,14245.0
2024-03,16403.0
2024-02,16432.0
2024-01,18287.0
2023-12,17417.0
2023-11,16363.0
2023-10,14710.0
2023-09,11617.0
2023-08,12414.0
2023-07,11750.0
2023-06,11420.0
2023-05,12661.0
2023-04,13733.0
2023-03,16197.0
2023-02,15626.0
2023-01,16569.0
2022-12,16540.0
2022-11,14995.0
2022-10,13958.0
2022-09,12417.0
2022-08,13563.0
2022-07,13506.0
2022-06,12789.0
2022-05,13544.0
2022-04,14434.0
2022-03,16595.0
2022-02,15906.0
2022-01,17789.0
2021-12,18298.0
2021-11,16175.0
2021-10,14514.0
2021-09,12499.0
2021-08,12084.0
2021-07,12184.0
2021-06,11589.0
2021-05,13520.0
2021-04,15253.0
2021-03,16563.0
2021-02,16725.0
2021-01,17930.0
2020-12,16544.0
2020-11,14345.0
2020-10,14431.0
2020-09,12457.0
2020-08,12030.0
2020-07,12299.0
2020-06,11514.0
2020-05,13109.0
2020-04,14382.0
2020-03,17092.0
2020-02,16252.0
2020-01,17086.0
2019-12,16620.0
2019-11,15711.0
2019-10,14660.0
2019-09,12365.0
2019-08,12121.0
2019-07,12663.0
2019-06,13099.0
2019-05,13090.0
2019-04,13930.0
2019-03,16437.0
2019-02,15512.0
2019-01,17761.0
2018-12,16907.0
2018-11,15280.0
2018-10,14074.0
2018-09,11750.0
2018-08,11487.0
2018-07,11136.0
2018-06,12085.0
2018-05,13264.0
2018-04,13657.0
2018-03,17046.0
2018-02,16493.0
2018-01,17520.0
2017-12,16887.0
2017-11,15607.0
2017-10,13989.0
2017-09,12004.0
2017-08,12295.0
2017-07,12292.0
2017-06,11992.0
2017-05,13325.0
2017-04,14363.0
2017-03,15853.0
2017-02,15383.0
2017-01,17248.0
2016-12,15831.0
2016-11,14337.0
2016-10,13163.0
2016-09,11931.0
2016-08,11526.0
2016-07,11025.0
2016-06,10973.0
2016-05,12832.0
2016-04,13900.0
2016-03,16013.0
2016-02,16196.0
2016-01,18076.0
2015-12,15485.0
2015-11,14615.0
2015-10,14609.0
2015-09,12196.0
2015-08,12854.0
2015-07,12339.0
2015-06,12337.0
2015-05,13046.0
2015-04,13612.0
2015-03,15397.0
2015-02,14925.0
2015-01,16400.0
2014-12,16120.0
2014-11,14512.0
2014-10,13419.0
2014-09,11552.0
2014-08,11557.0
2014-07,11713.0
2014-06,11359.0
2014-05,12123.0
2014-04,13832.0
2014-03,16087.0
2014-02,15342.0
2014-01,17427.0
2013-12,15551.0
2013-11,14230.0
2013-10,12831.0
2013-09,11438.0
2013-08,11461.0
2013-07,11421.0
2013-06,10845.0
2013-05,11960.0
2013-04,13678.0
2013-03,16353.0
2013-02,15372.0
2013-01,17282.0
2012-12,17107.0
2012-11,15015.0
2012-10,14777.0
2012-09,12838.0
2012-08,12929.0
2012-07,12320.0
2012-06,12364.0
2012-05,13530.0
2012-04,14659.0
2012-03,15480.0
2012-02,15927.0
2012-01,16782.0
2011-12,15613.0
2011-11,13417.0
2011-10,13056.0
2011-09,12390.0
2011-08,11973.0
2011-07,11496.0
2011-06,11036.0
2011-05,11452.0
2011-04,12397.0
2011-03,14989.0
2011-02,15159.0
2011-01,16398.0
2010-12,16758.0
2010-11,14535.0
2010-10,12515.0
2010-09,10717.0
2010-08,11178.0
2010-07,11095.0
2010-06,12004.0
2010-05,13184.0
2010-04,12492.0
2010-03,14558.0
2010-02,14476.0
2010-01,16495.0
2009-12,14866.0
2009-11,12601.0
2009-10,12527.0
2009-09,10465.0
2009-08,10369.0
2009-07,9671.0
2009-06,10330.0
2009-05,11231.0
2009-04,11417.0
2009-03,13846.0
2009-02,14416.0
2009-01,15692.0
2008-12,14167.0
2008-11,13453.0
2008-10,12518.0
2008-09,11604.0
2008-08,10552.0
2008-07,10843.0
2008-06,10998.0
2008-05,12902.0
2008-04,13969.0
2008-03,15954.0
2008-02,15299.0
2008-01,16515.0
2007-12,15134.0
2007-11,14215.0
2007-10,13059.0
2007-09,11448.0
2007-08,11635.0
2007-07,11218.0
2007-06,11395.0
2007-05,13291.0
2007-04,13692.0
2007-03,15014.0
2007-02,14807.0
2007-01,16231.0
2006-12,15008.0
2006-11,14172.0
2006-10,12887.0
2006-09,10414.0
2006-08,10114.0
2006-07,10104.0
2006-06,10646.0
2006-05,12850.0
2006-04,13461.0
2006-03,16167.0
2006-02,15226.0
2006-01,17065.0
