date,M,L,C,KD,S,V,MP,SD
2025-12,17.9,2.3,4.9,4.7,34.7,7.2,5.9,22.4
2025-11,18.8,2.2,4.8,4.3,35.6,7.1,6.0,21.2
2025-10,18.3,2.5,5.3,4.2,34.7,7.2,5.7,22.1
2025-09,18.2,2.6,5.2,4.0,35.4,7.0,5.6,22.0
2025-08,17.9,2.9,5.1,4.2,34.9,7.5,5.9,21.6
2025-07,17.6,3.4,3.4,4.6,33.8,8.8,5.2,23.2
2025-06,18.6,2.7,5.6,3.9,35.8,7.7,5.7,20.0
2025-05,19.1,2.7,5.3,3.7,35.7,7.7,5.8,20.0
2025-04,20.0,2.7,4.3,3.5,36.2,8.1,5.8,19.4
2025-03,19.6,2.9,4.3,4.0,35.1,8.1,5.8,20.2
2025-02,19.6,2.9,4.5,3.5,34.9,7.9,6.1,20.6
2025-01,19.8,2.9,5.0,3.4,34.3,7.6,6.2,20.8
2024-12,19.6,3.2,5.1,3.6,33.6,8.0,6.6,20.3
2024-11,19.9,3.4,4.8,3.7,33.9,8.0,6.2,20.1
2024-10,19.8,3.4,5.4,3.9,33.3,8.2,6.1,19.9
2024-09,20.0,3.5,4.8,3.5,33.3,8.7,6.2,20.0
2024-08,19.8,3.2,5.0,3.7,33.7,8.6,6.3,19.7
2024-07,19.6,3.3,5.1,3.8,33.3,8.9,6.2,19.8
2024-06,19.4,3.3,5.1,3.8,33.4,9.2,6.0,19.8
2024-05,19.4,3.2,4.5,3.7,34.6,8.1,5.6,20.9
2024-04,20.4,3.2,4.5,3.4,34.8,8.1,5.0,20.6
2024-03,19.8,3.4,4.3,3.3,35.6,8.3,4.5,20.8
2024-02,18.6,3.2,4.3,3.6,36.2,7.9,4.5,21.7
2024-01,18.2,3.1,4.4,3.6,36.4,7.8,4.5,22.0
2023-12,17.4,2.9,4.2,3.3,36.7,7.9,4.6,23.0
2023-11,17.9,2.8,4.1,3.3,37.6,7.8,4.5,22.0
2023-10,18.1,2.9,4.4,3.3,37.8,7.9,4.5,21.1
2023-09,19.3,3.0,4.2,3.4,38.0,7.8,4.7,19.6
2023-08,19.6,3.1,4.9,3.8,37.7,7.9,4.5,18.5
2023-07,20.8,3.0,4.6,3.7,36.3,8.2,3.7,19.7
2023-06,20.0,3.5,4.6,3.8,37.3,7.9,4.2,18.7
2023-05,19.9,3.1,4.5,3.9,37.5,8.2,4.3,18.6
2023-04,20.3,3.6,4.5,3.7,37.3,7.7,4.2,18.7
2023-03,20.2,3.5,4.4,4.2,37.4,7.7,4.1,18.5
2023-02,20.0,3.3,4.8,4.3,36.8,7.7,4.5,18.6
2023-01,19.3,3.7,5.5,4.4,35.7,8.0,4.1,19.3
2022-12,19.2,3.8,5.9,4.7,35.3,7.7,4.4,19.0
2022-11,20.5,3.8,5.8,4.7,33.1,8.2,4.6,19.3
2022-10,20.3,4.4,5.9,5.0,31.8,7.5,4.5,20.6
2022-09,17.7,5.3,7.6,6.0,29.4,7.7,5.8,20.5
2022-08,18.4,5.6,6.7,6.1,30.2,8.2,5.3,19.5
2022-07,20.2,5.2,6.2,6.4,31.7,9.1,4.1,17.1
2022-06,20.8,4.1,6.3,6.1,32.9,8.4,3.4,18.0
2022-05,21.8,3.2,6.5,6.0,32.1,8.5,3.1,18.8
2022-04,21.8,2.5,7.0,5.4,32.9,8.7,3.3,18.4
2022-03,21.8,2.3,7.1,5.5,32.8,8.6,2.9,19.0
2022-02,21.2,2.9,7.3,5.4,29.8,10.2,3.4,19.8
2022-01,21.1,3.0,7.2,5.1,31.3,9.9,3.1,19.3
2021-12,21.5,2.7,7.6,5.2,30.2,9.5,3.7,19.6
2021-11,22.2,2.8,8.5,4.9,27.4,10.2,4.0,20.0
2021-10,22.5,2.9,8.1,5.1,26.2,10.6,3.9,20.7
2021-09,22.0,2.5,8.6,5.3,26.0,10.8,4.1,20.7
2021-08,21.6,3.1,8.5,5.0,24.5,11.4,4.4,21.5
2021-07,21.5,3.4,8.7,5.7,24.7,11.0,3.9,21.1
2021-06,22.6,2.6,9.6,5.6,26.1,10.0,3.7,19.8
2021-05,22.2,3.0,9.8,5.3,26.9,9.3,4.1,19.4
2021-04,22.1,3.2,8.5,5.0,27.4,9.5,4.4,19.9
2021-03,23.6,3.0,8.9,4.6,27.1,9.9,4.1,18.8
2021-02,23.7,2.9,8.8,4.9,27.2,10.1,3.8,18.6
2021-01,22.6,2.9,8.3,5.1,27.4,10.1,4.0,19.6
2020-12,22.4,2.9,8.0,5.5,28.0,10.1,4.0,19.1
2020-11,21.6,3.1,8.3,5.7,26.5,10.4,4.0,20.4
2020-10,21.0,3.3,8.4,6.1,26.5,10.1,4.4,20.2
2020-09,21.4,3.3,8.2,6.0,27.4,8.9,4.0,20.8
2020-08,21.1,3.6,7.9,6.1,28.1,9.2,3.8,20.2
2020-07,21.1,3.1,7.9,5.8,28.4,8.1,4.4,21.2
2020-06,20.1,3.3,7.3,6.5,31.1,9.2,3.7,18.8
2020-05,19.4,3.3,7.6,6.1,31.7,9.1,3.8,19.0
2020-04,19.2,3.5,7.6,6.1,30.1,9.2,3.8,20.5
2020-03,18.6,4.1,8.4,6.9,24.3,11.0,4.1,22.6
2020-02,18.2,4.0,8.3,6.3,23.7,11.1,4.3,24.1
2020-01,18.0,3.6,8.9,6.5,23.9,10.3,4.5,24.3
2019-12,17.7,4.0,8.1,6.3,25.1,9.4,4.9,24.5
2019-11,17.7,3.5,8.2,7.7,24.7,9.6,4.9,23.7
2019-10,18.5,3.9,8.6,6.9,25.2,9.1,5.0,22.8
2019-09,19.5,4.1,8.7,7.0,25.5,8.9,5.0,21.3
2019-08,19.0,4.1,9.1,7.8,26.6,9.0,4.9,19.5
2019-07,17.7,4.8,9.6,8.6,26.3,8.5,5.2,19.3
2019-06,17.8,3.9,8.6,10.4,26.8,9.0,5.3,18.2
2019-05,16.8,3.7,8.7,11.5,27.1,9.1,4.5,18.6
2019-04,16.7,3.7,8.0,11.8,27.3,9.4,4.3,18.8
2019-03,17.9,3.5,8.3,10.1,27.6,9.6,3.9,19.1
2019-02,18.0,3.4,7.9,8.4,28.6,9.7,3.9,20.1
2019-01,19.0,3.9,7.6,7.6,30.1,8.6,3.9,19.3
2018-12,19.0,4.0,8.3,6.5,30.5,8.0,4.1,19.6
2018-11,18.8,4.2,9.3,6.3,29.5,8.0,4.1,19.8
2018-10,19.3,5.0,9.0,6.1,29.6,8.0,4.3,18.7
2018-09,18.1,6.1,9.0,6.7,25.7,10.3,5.4,18.7
2018-08,18.7,5.8,9.3,5.0,25.6,9.9,5.8,19.9
2018-07,19.5,5.2,9.0,3.4,24.5,10.3,4.9,23.2
2018-06,21.4,5.0,9.9,3.1,25.9,9.3,4.4,21.0
2018-05,22.8,4.7,9.1,3.7,26.5,9.0,4.2,20.0
2018-04,23.3,4.7,9.8,3.7,28.2,8.3,4.3,17.7
2018-03,23.2,4.7,9.6,3.6,28.9,8.1,4.0,17.9
2018-02,24.1,4.9,10.2,3.0,28.3,8.0,4.2,17.3
2018-01,24.5,4.8,9.3,3.1,28.8,7.8,4.2,17.5
2017-12,22.8,4.9,10.1,3.2,30.4,7.5,4.1,17.0
2017-11,22.1,5.1,10.8,3.4,29.9,7.5,4.5,16.7
2017-10,19.0,5.6,12.1,3.4,30.8,8.0,3.9,17.2
2017-09,17.4,5.2,12.2,3.8,30.1,7.4,4.4,19.5
2017-08,16.6,5.9,12.6,3.8,30.0,7.2,4.2,19.7
2017-07,17.0,5.6,12.4,3.5,27.3,7.8,3.9,22.5
2017-06,16.8,6.0,13.3,3.2,28.7,8.0,4.1,19.9
2017-05,17.6,5.5,12.8,3.7,29.0,7.5,3.8,20.1
2017-04,17.4,5.5,13.0,3.6,28.8,7.6,3.9,20.2
2017-03,17.9,5.8,13.0,3.3,27.1,7.9,4.1,20.9
2017-02,19.7,5.5,11.8,3.6,27.0,7.9,4.4,20.1
2017-01,22.7,5.5,9.7,3.2,26.9,8.1,4.6,19.3
2016-12,22.4,5.6,8.7,3.5,28.1,7.9,4.6,19.2
2016-11,23.6,5.7,8.5,3.2,26.8,8.0,4.5,19.7
2016-10,23.9,5.8,8.2,3.4,26.4,8.0,4.4,19.9
2016-09,24.8,5.0,7.8,3.4,26.7,8.0,4.5,19.8
2016-08,25.5,4.7,7.8,3.6,26.0,8.3,3.9,20.2
2016-07,25.5,5.9,8.2,3.4,26.7,7.9,5.0,17.4
2016-06,26.1,4.9,7.4,3.5,26.7,7.6,4.4,19.4
2016-05,26.0,5.8,6.6,3.8,26.9,7.9,4.5,18.5
2016-04,25.5,5.4,7.0,3.4,26.2,7.7,5.4,19.4
2016-03,25.4,5.0,6.3,3.7,26.3,7.5,5.9,19.9
2016-02,24.9,5.9,7.1,3.7,24.6,7.5,5.6,20.7
2016-01,23.8,5.7,7.5,3.7,24.6,7.3,5.5,21.9
2015-12,22.9,5.8,7.3,3.5,26.2,6.8,5.9,21.6
2015-11,22.9,5.5,7.4,4.0,25.7,6.7,6.3,21.5
2015-10,22.9,5.1,7.6,4.2,26.4,6.8,6.5,20.5
2015-09,22.7,5.0,7.6,3.7,26.4,6.8,6.1,21.7
2015-08,24.0,4.9,7.1,3.7,25.3,7.1,6.8,21.1
2015-07,23.0,4.8,6.9,3.9,25.8,6.9,7.1,21.6
2015-06,25.8,4.9,7.1,3.7,28.4,6.6,6.6,16.9
2015-05,25.5,5.0,7.5,3.7,27.4,6.9,6.8,17.2
2015-04,25.8,5.1,6.4,4.0,28.3,7.0,7.0,16.4
2015-03,24.6,5.1,6.3,4.3,31.1,6.4,6.6,15.6
2015-02,24.0,4.7,6.6,4.6,31.0,6.6,7.0,15.5
2015-01,24.8,4.8,6.1,4.2,32.6,6.1,6.6,14.8
2014-12,25.5,5.3,6.3,4.0,31.7,5.8,7.1,14.3
2014-11,26.2,5.7,6.6,4.0,30.3,6.4,7.8,13.0
2014-10,25.4,5.6,6.0,4.1,30.3,6.4,8.4,13.8
2014-09,23.1,6.7,6.3,5.3,31.6,7.5,9.3,10.2
2014-08,23.0,6.7,5.2,4.5,32.1,7.2,10.6,10.7
