date,UR
2025-11,8.2
2025-10,8.9
2025-09,8.3
2025-08,8.4
2025-07,8.0
2025-06,9.4
2025-05,9.7
2025-04,8.9
2025-03,8.5
2025-02,9.4
2025-01,10.4
2024-12,8.0
2024-11,7.4
2024-10,7.8
2024-09,8.2
2024-08,7.9
2024-07,7.7
2024-06,9.4
2024-05,8.7
2024-04,8.9
2024-03,9.2
2024-02,8.5
2024-01,8.5
2023-12,7.7
2023-11,7.1
2023-10,7.4
2023-09,7.7
2023-08,7.7
2023-07,6.2
2023-06,9.3
2023-05,7.9
2023-04,7.5
2023-03,7.7
2023-02,8.2
2023-01,7.6
2022-12,6.9
2022-11,6.4
2022-10,7.1
2022-09,6.5
2022-08,6.6
2022-07,6.5
2022-06,8.6
2022-05,8.5
2022-04,8.2
2022-03,8.2
2022-02,7.9
2022-01,8.4
2021-12,7.4
2021-11,7.6
2021-10,7.7
2021-09,8.4
2021-08,8.6
2021-07,8.0
2021-06,10.5
2021-05,9.8
2021-04,9.4
2021-03,10.2
2021-02,9.7
2021-01,9.4
2020-12,8.5
2020-11,7.8
2020-10,8.0
2020-09,8.4
2020-08,9.0
2020-07,9.1
2020-06,10.0
2020-05,9.2
2020-04,8.5
2020-03,7.3
2020-02,8.3
2020-01,7.7
2019-12,6.2
2019-11,7.0
2019-10,6.2
2019-09,6.1
2019-08,7.0
2019-07,7.0
2019-06,7.3
2019-05,7.3
2019-04,6.9
2019-03,7.8
2019-02,7.4
2019-01,6.7
2018-12,6.2
2018-11,6.0
2018-10,5.8
2018-09,5.9
2018-08,6.1
2018-07,6.2
2018-06,7.3
2018-05,6.6
2018-04,6.9
2018-03,6.6
2018-02,6.4
2018-01,7.2
2017-12,6.2
2017-11,5.9
2017-10,6.4
2017-09,6.3
2017-08,6.1
2017-07,6.6
2017-06,7.4
2017-05,7.3
2017-04,7.3
2017-03,6.9
2017-02,7.5
2017-01,7.5
2016-12,6.6
2016-11,6.3
2016-10,6.5
2016-09,6.2
2016-08,6.7
2016-07,6.4
2016-06,7.7
2016-05,7.7
2016-04,7.4
2016-03,7.9
2016-02,7.7
2016-01,7.6
2015-12,6.8
2015-11,6.4
2015-10,6.8
2015-09,6.8
2015-08,6.5
2015-07,6.6
2015-06,8.6
2015-05,8.1
2015-04,8.5
2015-03,8.1
2015-02,8.5
2015-01,8.5
2014-12,7.1
2014-11,7.5
2014-10,7.6
2014-09,7.3
2014-08,7.5
2014-07,7.2
2014-06,9.3
2014-05,8.1
2014-04,8.8
2014-03,8.7
2014-02,8.6
2014-01,8.8
2013-12,7.6
2013-11,7.6
2013-10,7.4
2013-09,7.6
2013-08,7.4
2013-07,7.3
2013-06,9.2
2013-05,8.3
2013-04,8.9
2013-03,8.9
2013-02,8.6
2013-01,8.5
2012-12,7.7
2012-11,7.9
2012-10,7.6
2012-09,7.7
2012-08,7.6
2012-07,7.5
2012-06,9.1
2012-05,8.7
2012-04,8.1
2012-03,8.1
2012-02,8.3
2012-01,8.5
2011-12,7.4
2011-11,7.2
2011-10,7.3
2011-09,7.1
2011-08,7.1
2011-07,7.3
2011-06,9.3
2011-05,8.2
2011-04,8.3
2011-03,8.5
2011-02,8.3
2011-01,8.5
2010-12,7.7
2010-11,7.5
2010-10,7.8
2010-09,8.0
2010-08,7.7
2010-07,8.3
2010-06,9.7
2010-05,9.2
2010-04,9.9
2010-03,9.5
2010-02,9.4
2010-01,9.7
2009-12,8.7
2009-11,8.2
2009-10,8.3
2009-09,8.4
2009-08,8.0
2009-07,8.0
2009-06,9.9
2009-05,9.2
2009-04,8.4
2009-03,8.4
2009-02,8.1
2009-01,7.4
2008-12,6.5
2008-11,6.4
2008-10,5.8
2008-09,6.0
2008-08,5.3
2008-07,5.9
2008-06,8.2
2008-05,6.0
2008-04,6.1
2008-03,6.4
2008-02,6.2
2008-01,6.5
2007-12,5.7
2007-11,5.3
2007-10,5.8
2007-09,5.7
2007-08,5.4
2007-07,5.5
2007-06,7.9
2007-05,6.2
2007-04,6.6
2007-03,7.1
2007-02,6.6
2007-01,7.1
2006-12,6.2
2006-11,6.0
2006-10,6.2
2006-09,6.2
2006-08,6.5
2006-07,6.6
2006-06,8.6
2006-05,7.5
2006-04,8.2
2006-03,8.1
2006-02,7.5
2006-01,8.4
2005-12,7.5
2005-11,6.7
2005-10,7.5
2005-09,7.1
2005-08,7.4
2005-07,7.7
2005-06,9.6
2005-05,8.3
2005-04,8.0
2005-03,8.0
2005-02,8.6
2005-01,8.5
2004-12,7.3
2004-11,7.1
2004-10,6.7
2004-09,7.5
2004-08,6.9
2004-07,6.8
2004-06,8.8
2004-05,8.0
2004-04,7.5
2004-03,8.0
2004-02,8.0
2004-01,7.6
2003-12,6.9
2003-11,6.9
2003-10,6.4
2003-09,6.2
2003-08,6.5
2003-07,6.2
2003-06,7.7
2003-05,6.7
2003-04,6.6
2003-03,6.8
2003-02,6.4
2003-01,7.0
2002-12,6.1
2002-11,5.8
2002-10,5.6
2002-09,5.9
2002-08,5.5
2002-07,5.8
2002-06,6.9
2002-05,6.2
2002-04,6.2
2002-03,6.4
2002-02,6.2
2002-01,6.4
2001-12,5.7
2001-11,5.5
2001-10,5.8
2001-09,5.5
2001-08,5.5
2001-07,5.6
2001-06,6.9
2001-05,6.1
2001-04,5.9
2001-03,6.3
2001-02,6.2
2001-01,6.6
