date,befolkning2
2024M12,10587710.0
2024M11,10588230.0
2024M10,10587276.0
2024M09,10582576.0
2024M08,10576145.0
2024M07,10564484.0
2024M06,10553341.0
2024M05,10548877.0
2024M04,10548461.0
2024M03,10548822.0
2024M02,10549287.0
2024M01,10550054.0
2023M12,10551707.0
2023M11,10555448.0
2023M10,10558012.0
2023M09,10557822.0
2023M08,10554692.0
2023M07,10548336.0
2023M06,10545310.0
2023M05,10540886.0
2023M04,10538026.0
2023M03,10533267.0
2023M02,10528561.0
2023M01,10523709.0
2022M12,10521556.0
2022M11,10520558.0
2022M10,10514692.0
2022M09,10508669.0
2022M08,10502959.0
2022M07,10493565.0
2022M06,10487859.0
2022M05,10481937.0
2022M04,10475203.0
2022M03,10468482.0
2022M02,10462498.0
2022M01,10457147.0
2021M12,10452326.0
2021M11,10449381.0
2021M10,10443153.0
2021M09,10435447.0
2021M08,10427296.0
2021M07,10416585.0
2021M06,10409248.0
2021M05,10402070.0
2021M04,10395160.0
2021M03,10389806.0
2021M02,10385347.0
2021M01,10380491.0
2020M12,10379295.0
2020M11,10380245.0
2020M10,10377781.0
2020M09,10373225.0
2020M08,10367232.0
2020M07,10358538.0
2020M06,10352390.0
2020M05,10348730.0
2020M04,10345449.0
2020M03,10343403.0
2020M02,10338368.0
2020M01,10333456.0
2019M12,10327589.0
2019M11,10323857.0
2019M10,10319601.0
2019M09,10313447.0
2019M08,10302984.0
2019M07,10290832.0
2019M06,10281189.0
2019M05,10272518.0
2019M04,10263568.0
2019M03,10255102.0
2019M02,10246901.0
2019M01,10238627.0
2018M12,10230185.0
2018M11,10223505.0
2018M10,10215250.0
2018M09,10207086.0
2018M08,10196177.0
2018M07,10182291.0
2018M06,10171524.0
2018M05,10161797.0
2018M04,10151588.0
2018M03,10142686.0
2018M02,10135303.0
2018M01,10128320.0
2017M12,10120242.0
2017M11,10112669.0
2017M10,10103843.0
2017M09,10093734.0
2017M08,10081396.0
2017M07,10065389.0
2017M06,10053061.0
2017M05,10042928.0
2017M04,10032357.0
2017M03,10023893.0
2017M02,10014873.0
2017M01,10005673.0
2016M12,9995153.0
2016M11,9981799.0
2016M10,9967274.0
2016M09,9954420.0
2016M08,9938648.0
2016M07,9920881.0
2016M06,9906331.0
2016M05,9894888.0
2016M04,9884285.0
2016M03,9875378.0
2016M02,9866670.0
2016M01,9858794.0
2015M12,9851017.0
2015M11,9845155.0
2015M10,9838480.0
2015M09,9828655.0
2015M08,9816666.0
2015M07,9804082.0
2015M06,9793172.0
2015M05,9784445.0
2015M04,9775572.0
2015M03,9767357.0
2015M02,9760142.0
2015M01,9753627.0
2014M12,9747355.0
2014M11,9743087.0
2014M10,9737521.0
2014M09,9728498.0
2014M08,9716962.0
2014M07,9705005.0
2014M06,9694194.0
2014M05,9684858.0
2014M04,9675885.0
2014M03,9666871.0
2014M02,9658301.0
2014M01,9651531.0
2013M12,9644864.0
2013M11,9639741.0
2013M10,9633490.0
2013M09,9625444.0
2013M08,9616429.0
2013M07,9606522.0
2013M06,9596436.0
2013M05,9588569.0
2013M04,9580424.0
2013M03,9573466.0
2013M02,9566945.0
2013M01,9561254.0
2012M12,9555893.0
2012M11,9551781.0
2012M10,9546217.0
2012M09,9540065.0
2012M08,9532634.0
2012M07,9522998.0
