date,bolaneranta
2025M10,2.72
2025M09,2.8
2025M08,2.84
2025M07,2.84
2025M06,3.01
2025M05,3.03
2025M04,3.13
2025M03,3.09
2025M02,3.06
2025M01,3.23
2024M12,3.31
2024M11,3.41
2024M10,3.65
2024M09,3.82
2024M08,4.06
2024M07,4.44
2024M06,4.44
2024M05,4.49
2024M04,4.73
2024M03,4.75
2024M02,4.69
2024M01,4.7
2023M12,4.76
2023M11,4.82
2023M10,4.8
2023M09,4.7
2023M08,4.61
2023M07,4.52
2023M06,4.39
2023M05,4.26
2023M04,4.09
2023M03,4.03
2023M02,3.88
2023M01,3.63
2022M12,3.48
2022M11,3.48
2022M10,3.4
2022M09,3.14
2022M08,2.74
2022M07,2.51
2022M06,2.31
2022M05,2.14
2022M04,1.85
2022M03,1.61
2022M02,1.49
2022M01,1.43
2021M12,1.37
2021M11,1.35
2021M10,1.32
2021M09,1.33
2021M08,1.33
2021M07,1.36
2021M06,1.37
2021M05,1.35
2021M04,1.37
2021M03,1.37
2021M02,1.35
2021M01,1.37
2020M12,1.36
2020M11,1.38
2020M10,1.43
2020M09,1.48
2020M08,1.5
2020M07,1.51
2020M06,1.53
2020M05,1.54
2020M04,1.54
2020M03,1.53
2020M02,1.55
2020M01,1.52
2019M12,1.48
2019M11,1.46
2019M10,1.43
2019M09,1.5
2019M08,1.52
2019M07,1.53
2019M06,1.52
2019M05,1.52
2019M04,1.54
2019M03,1.56
2019M02,1.57
2019M01,1.58
2018M12,1.49
2018M11,1.46
2018M10,1.47
2018M09,1.49
2018M08,1.46
2018M07,1.48
2018M06,1.49
2018M05,1.49
2018M04,1.54
2018M03,1.56
2018M02,1.55
2018M01,1.55
2017M12,1.57
2017M11,1.57
2017M10,1.57
2017M09,1.58
2017M08,1.58
2017M07,1.58
2017M06,1.57
2017M05,1.57
2017M04,1.6
2017M03,1.59
2017M02,1.58
2017M01,1.58
2016M12,1.57
2016M11,1.57
2016M10,1.59
2016M09,1.6
2016M08,1.59
2016M07,1.61
2016M06,1.62
2016M05,1.6
2016M04,1.61
2016M03,1.61
2016M02,1.6
2016M01,1.63
2015M12,1.62
2015M11,1.59
2015M10,1.6
2015M09,1.58
2015M08,1.59
2015M07,1.61
2015M06,1.63
2015M05,1.66
2015M04,1.67
2015M03,1.74
2015M02,1.81
2015M01,1.89
2014M12,1.93
2014M11,1.93
2014M10,2.08
2014M09,2.17
2014M08,2.17
2014M07,2.22
2014M06,2.39
2014M05,2.42
2014M04,2.43
2014M03,2.44
2014M02,2.45
2014M01,2.46
2013M12,2.56
2013M11,2.64
2013M10,2.72
2013M09,2.74
2013M08,2.73
2013M07,2.74
2013M06,2.73
2013M05,2.76
2013M04,2.85
2013M03,2.88
2013M02,2.89
2013M01,2.89
2012M12,2.97
2012M11,3.05
2012M10,3.15
2012M09,3.33
2012M08,3.52
2012M07,3.58
2012M06,3.62
2012M05,3.67
2012M04,3.74
2012M03,3.77
2012M02,3.84
2012M01,3.91
2011M12,4.07
2011M11,3.93
2011M10,3.93
2011M09,3.83
2011M08,3.92
2011M07,4.02
2011M06,3.98
2011M05,3.9
2011M04,3.9
2011M03,3.83
2011M02,3.61
2011M01,3.42
2010M12,3.2
2010M11,2.9
2010M10,2.82
2010M09,2.71
2010M08,2.49
2010M07,2.4
2010M06,2.27
2010M05,1.96
2010M04,1.94
2010M03,1.92
2010M02,1.82
2010M01,1.78
2009M12,1.73
2009M11,1.67
2009M10,1.71
2009M09,1.79
2009M08,1.82
2009M07,1.91
2009M06,2.17
2009M05,2.06
2009M04,2.08
2009M03,2.35
2009M02,2.55
2009M01,3.3
2008M12,3.95
2008M11,5.38
2008M10,5.82
2008M09,6.05
2008M08,5.74
2008M07,5.81
2008M06,5.61
2008M05,5.28
2008M04,5.21
2008M03,5.12
2008M02,5.02
2008M01,4.95
2007M12,5.04
2007M11,4.99
2007M10,4.9
2007M09,4.81
2007M08,4.64
2007M07,4.62
2007M06,4.56
2007M05,4.41
2007M04,4.33
2007M03,4.23
2007M02,4.24
2007M01,4.16
2006M12,4.06
2006M11,3.92
2006M10,3.84
2006M09,3.85
2006M08,3.69
2006M07,3.59
2006M06,3.51
2006M05,3.32
2006M04,3.34
2006M03,3.31
2006M02,3.19
2006M01,3.19
