date,penningmangd
2025M10,5.4
2025M09,5.2
2025M08,5.9
2025M07,6.2
2025M06,5.6
2025M05,7.0
2025M04,7.0
2025M03,5.4
2025M02,5.0
2025M01,3.1
2024M12,0.7
2024M11,-0.7
2024M10,-1.2
2024M09,-1.6
2024M08,-5.0
2024M07,-5.0
2024M06,-4.7
2024M05,-6.3
2024M04,-7.1
2024M03,-7.5
2024M02,-9.7
2024M01,-10.3
2023M12,-9.4
2023M11,-12.1
2023M10,-13.0
2023M09,-12.9
2023M08,-14.0
2023M07,-12.9
2023M06,-13.1
2023M05,-11.8
2023M04,-10.4
2023M03,-9.7
2023M02,-6.1
2023M01,-3.5
2022M12,-2.9
2022M11,-1.3
2022M10,0.8
2022M09,3.5
2022M08,8.1
2022M07,8.1
2022M06,8.7
2022M05,10.1
2022M04,10.9
2022M03,11.5
2022M02,10.4
2022M01,11.6
2021M12,11.7
2021M11,13.4
2021M10,13.4
2021M09,13.3
2021M08,11.1
2021M07,10.4
2021M06,12.5
2021M05,11.4
2021M04,12.7
2021M03,13.5
2021M02,19.9
2021M01,18.1
2020M12,19.2
2020M11,17.5
2020M10,15.7
2020M09,15.4
2020M08,17.6
2020M07,17.8
2020M06,16.3
2020M05,16.5
2020M04,15.1
2020M03,12.7
2020M02,7.2
2020M01,7.9
2019M12,7.5
2019M11,7.9
2019M10,9.4
2019M09,7.9
2019M08,7.8
2019M07,7.8
2019M06,6.7
2019M05,7.2
2019M04,5.9
2019M03,7.0
2019M02,7.5
2019M01,6.6
2018M12,7.6
2018M11,7.7
2018M10,6.5
2018M09,7.1
2018M08,6.4
2018M07,6.3
2018M06,7.6
2018M05,6.9
2018M04,7.6
2018M03,6.7
2018M02,8.0
2018M01,8.4
2017M12,7.9
2017M11,8.7
2017M10,9.2
2017M09,9.5
2017M08,10.1
2017M07,10.5
2017M06,11.3
2017M05,10.5
2017M04,10.0
2017M03,11.1
2017M02,9.5
2017M01,9.6
2016M12,9.5
2016M11,10.5
2016M10,10.3
2016M09,11.6
2016M08,11.0
2016M07,11.0
2016M06,9.2
2016M05,10.3
2016M04,12.5
2016M03,12.3
2016M02,13.6
2016M01,15.0
2015M12,12.7
2015M11,14.7
2015M10,15.3
2015M09,14.3
2015M08,14.7
2015M07,15.4
2015M06,15.2
2015M05,15.1
2015M04,13.6
2015M03,14.0
2015M02,11.3
2015M01,9.4
2014M12,9.8
2014M11,10.6
2014M10,10.9
2014M09,10.0
2014M08,10.4
2014M07,9.7
2014M06,9.5
2014M05,10.1
2014M04,9.1
2014M03,7.3
2014M02,9.8
2014M01,8.7
2013M12,9.0
2013M11,7.9
2013M10,5.8
2013M09,5.0
2013M08,6.3
2013M07,6.0
2013M06,5.3
2013M05,6.5
2013M04,5.4
2013M03,5.6
2013M02,3.2
2013M01,3.5
2012M12,4.7
2012M11,4.9
2012M10,4.5
2012M09,5.7
2012M08,4.3
2012M07,5.2
2012M06,5.0
2012M05,4.0
2012M04,4.3
2012M03,5.1
2012M02,4.8
2012M01,3.2
2011M12,0.9
2011M11,0.2
2011M10,-1.3
2011M09,-0.2
2011M08,-0.4
2011M07,-2.1
2011M06,-0.6
2011M05,-0.9
2011M04,-0.9
2011M03,-0.9
2011M02,-0.7
2011M01,1.4
2010M12,2.3
2010M11,4.3
2010M10,6.8
2010M09,6.0
2010M08,5.1
2010M07,8.0
2010M06,7.0
2010M05,6.2
2010M04,7.9
2010M03,7.3
2010M02,9.4
2010M01,7.5
2009M12,8.2
2009M11,9.5
2009M10,10.9
2009M09,9.6
2009M08,10.8
2009M07,8.5
2009M06,8.9
2009M05,7.5
2009M04,7.1
2009M03,6.5
2009M02,4.5
2009M01,6.5
2008M12,6.7
2008M11,3.9
2008M10,2.4
2008M09,2.7
2008M08,1.9
2008M07,3.9
2008M06,2.5
2008M05,5.2
2008M04,4.8
2008M03,7.6
2008M02,10.0
2008M01,9.3
2007M12,8.3
2007M11,7.9
2007M10,8.6
2007M09,9.6
2007M08,10.3
2007M07,11.7
2007M06,12.9
2007M05,11.3
2007M04,11.8
2007M03,12.1
2007M02,7.6
2007M01,8.0
2006M12,11.3
2006M11,10.9
2006M10,10.1
2006M09,11.8
2006M08,12.3
2006M07,8.3
2006M06,7.2
2006M05,9.3
2006M04,10.8
2006M03,10.2
2006M02,13.8
2006M01,15.1
2005M12,13.6
2005M11,12.1
2005M10,14.0
2005M09,9.6
2005M08,9.4
2005M07,11.3
2005M06,10.8
2005M05,8.5
2005M04,7.7
2005M03,5.2
2005M02,4.2
2005M01,3.2
2004M12,2.8
2004M11,4.1
2004M10,1.1
2004M09,3.3
2004M08,3.5
